state	root	nonSwedish
12120000	1950.299504045449	2005.3075626625596
12140000	1952.2471199494637	2000.0628482543532
12160000	1960.7680284846997	2001.097795763821
12180000	None	2005.8453051552638
12200000	1952.3832262552544	2003.4278888684705
12220000	None	1999.2220261713792
12240000	1956.5059867595323	2004.5949939639904
12260000	1956.888030043746	2004.747121358097
12280000	1959.254932578253	2005.585324855165
12300000	1971.7858645539382	2007.2227962554755
12320000	1961.2566941440075	2007.0282984659354
12340000	None	2004.6431116866363
12360000	1957.9612159954945	2003.4237631847127
12380000	1968.8391078269506	2006.902994937877
12400000	1964.5996531148871	2002.3875250132512
12420000	None	2005.2699672830443
12440000	None	2000.9953274815791
12460000	1955.8976508895705	2005.4983621777128
12480000	None	2005.1595662101495
12500000	1957.8300971393821	2001.2310942858599
12520000	1952.9755325890808	2000.794912572155
12540000	None	2005.88929591992
12560000	None	2006.3036132389213
12580000	None	2004.9728534662736
12600000	1967.797242438534	2006.8538565661065
12620000	None	2002.620539381859
12640000	1955.456250843449	2005.6815783884063
12660000	1962.3881701506798	2005.7984692125808
12680000	1956.6727130601548	2003.232719140899
12700000	1959.5987473158411	2000.70947407834
12720000	None	2001.8455565910926
12740000	None	2001.5737687418268
12760000	1964.5926138884738	2003.2152372410637
12780000	1958.1204001909355	2001.6306152164466
12800000	1970.1751603653522	2002.7630890359653
12820000	None	2004.5732923158655
12840000	None	2005.4272128842576
12860000	1957.8017644610761	2001.5951050155186
12880000	1950.5425394214506	2002.442581868481
12900000	None	2002.7244717499232
12920000	None	1999.1751726942118
12940000	1949.7234915024385	2000.2377324563108
12960000	None	2000.7776762151525
12980000	1952.6551301288125	2000.4305264904528
13000000	1953.514350729348	2001.2173263421
13020000	None	2003.5468457152044
13040000	None	2004.3039815635539
13060000	1960.4444110155177	2004.7350804073808
13080000	None	2002.265056981426
13100000	None	2003.8955355758987
13120000	1961.4677359419065	2004.560451625594
13140000	1955.0512866544102	2002.17047699655
13160000	None	2001.2624107144336
13180000	None	2003.1364991333573
13200000	1947.636390172859	2001.3794159711404
13220000	1964.8709435855324	2002.9009781700631
13240000	None	2003.001930861493
13260000	1949.3683036154457	2000.2642766228773
13280000	1953.0967818855358	2002.631635961752
13300000	1944.0071837532348	1998.6908131877517
13320000	1956.6025718202845	2000.6954298376716
13340000	1940.5229708766065	1997.952331765227
13360000	1946.9628510644943	2002.233152159318
13380000	1947.757972435671	1997.445008027475
13400000	None	2002.8542234145727
13420000	None	2003.777680813433
13440000	None	2002.8666928865691
13460000	1948.0478117983869	2001.835831897782
13480000	1949.6157917894252	1999.4423949606596
13500000	1956.0981509088022	2004.5602095058498
13520000	None	2002.9239222591632
13540000	None	1998.4065729912845
13560000	None	2003.6424951579806
13580000	None	2002.0511414541484
13600000	None	2001.9846890173087
13620000	1953.4090368171464	2001.4531044548723
13640000	1962.9371239231211	2005.405748150726
